name,value,label,rank,index
Coca-Cola,72537,2000,1,0
Microsoft,70196,2000,2,0
IBM,53183,2000,3,0
Intel,39048,2000,4,0
GE,38127,2000,5,0
Ford,36368,2000,6,0
Disney,33553,2000,7,0
McDonald's,27859,2000,8,0
Mercedes-Benz,21104,2000,9,0
HP,20572,2000,10,0
Cisco,20067,2000,11,0
Toyota,18823,2000,12,0
Coca-Cola,72177.8,2000,1,1
Microsoft,69683.2,2000,2,1
IBM,53139.9,2000,3,1
Intel,38609.7,2000,4,1
GE,38553.9,2000,5,1
Ford,35740.4,2000,6,1
Disney,33456.8,2000,7,1
McDonald's,27602,2000,8,1
Mercedes-Benz,21166.4,2000,9,1
HP,20313.1,2000,10,1
Cisco,19781.2,2000,11,1
Citi,18828.6,2000,12,1
Coca-Cola,71818.6,2000,1,2
Microsoft,69170.4,2000,2,2
IBM,53096.8,2000,3,2
GE,38980.8,2000,4,2
Intel,38171.4,2000,5,2
Ford,35112.8,2000,6,2
Disney,33360.6,2000,7,2
McDonald's,27345,2000,8,2
Mercedes-Benz,21228.8,2000,9,2
HP,20054.2,2000,10,2
Cisco,19495.4,2000,11,2
Citi,18848.2,2000,12,2
Coca-Cola,71459.4,2000,1,3
Microsoft,68657.6,2000,2,3
IBM,53053.7,2000,3,3
GE,39407.7,2000,4,3
Intel,37733.1,2000,5,3
Ford,34485.2,2000,6,3
Disney,33264.4,2000,7,3
McDonald's,27088,2000,8,3
Mercedes-Benz,21291.2,2000,9,3
HP,19795.3,2000,10,3
Cisco,19209.6,2000,11,3
Citi,18867.8,2000,12,3
Coca-Cola,71100.2,2000,1,4
Microsoft,68144.8,2000,2,4
IBM,53010.6,2000,3,4
GE,39834.6,2000,4,4
Intel,37294.8,2000,5,4
Ford,33857.6,2000,6,4
Disney,33168.2,2000,7,4
McDonald's,26831,2000,8,4
Mercedes-Benz,21353.6,2000,9,4
HP,19536.4,2000,10,4
Cisco,18923.8,2000,11,4
Citi,18887.4,2000,12,4
Coca-Cola,70741,2000,1,5
Microsoft,67632,2000,2,5
IBM,52967.5,2000,3,5
GE,40261.5,2000,4,5
Intel,36856.5,2000,5,5
Ford,33230,2000,6,5
Disney,33072,2000,7,5
McDonald's,26574,2000,8,5
Mercedes-Benz,21416,2000,9,5
HP,19277.5,2000,10,5
Citi,18907,2000,11,5
Toyota,18700.5,2000,12,5
Coca-Cola,70381.8,2000,1,6
Microsoft,67119.2,2000,2,6
IBM,52924.4,2000,3,6
GE,40688.4,2000,4,6
Intel,36418.2,2000,5,6
Disney,32975.8,2000,6,6
Ford,32602.4,2000,7,6
McDonald's,26317,2000,8,6
Mercedes-Benz,21478.4,2000,9,6
HP,19018.6,2000,10,6
Citi,18926.6,2000,11,6
Toyota,18676,2000,12,6
Coca-Cola,70022.6,2000,1,7
Microsoft,66606.4,2000,2,7
IBM,52881.3,2000,3,7
GE,41115.3,2000,4,7
Intel,35979.9,2000,5,7
Disney,32879.6,2000,6,7
Ford,31974.8,2000,7,7
McDonald's,26060,2000,8,7
Mercedes-Benz,21540.8,2000,9,7
Citi,18946.2,2000,10,7
HP,18759.7,2000,11,7
Toyota,18651.5,2000,12,7
Coca-Cola,69663.4,2000,1,8
Microsoft,66093.6,2000,2,8
IBM,52838.2,2000,3,8
GE,41542.2,2000,4,8
Intel,35541.6,2000,5,8
Disney,32783.4,2000,6,8
Ford,31347.2,2000,7,8
McDonald's,25803,2000,8,8
Mercedes-Benz,21603.2,2000,9,8
Citi,18965.8,2000,10,8
Toyota,18627,2000,11,8
HP,18500.8,2000,12,8
Coca-Cola,69304.2,2000,1,9
Microsoft,65580.8,2000,2,9
IBM,52795.1,2000,3,9
GE,41969.1,2000,4,9
Intel,35103.3,2000,5,9
Disney,32687.2,2000,6,9
Ford,30719.6,2000,7,9
McDonald's,25546,2000,8,9
Mercedes-Benz,21665.6,2000,9,9
Citi,18985.4,2000,10,9
Toyota,18602.5,2000,11,9
HP,18241.9,2000,12,9
Coca-Cola,68945,2001,1,10
Microsoft,65068,2001,2,10
IBM,52752,2001,3,10
